passenderID,survived,pclass,fare,embarked,class,deck,embark_town,alone
passenger338,1,3,8.05,S,Third,,Southampton,True
passenger821,1,3,8.6625,S,Third,,Southampton,True
passenger814,0,3,8.05,S,Third,,Southampton,True
passenger755,1,2,14.5,S,Second,,Southampton,False
passenger588,0,3,8.05,S,Third,,Southampton,True
passenger589,0,3,8.05,S,Third,,Southampton,True
passenger727,1,3,7.7375,Q,Third,,Queenstown,True
passenger880,1,2,26.0,S,Second,,Southampton,False
passenger545,0,1,26.0,S,First,,Southampton,True
passenger246,0,3,7.775,S,Third,,Southampton,True
passenger859,0,3,7.2292,C,Third,,Cherbourg,True
passenger3,1,1,53.1,S,First,C,Southampton,False
passenger578,0,3,14.4583,C,Third,,Cherbourg,False
passenger423,0,3,14.4,S,Third,,Southampton,False
passenger327,1,2,13.0,S,Second,D,Southampton,True
passenger882,0,3,10.5167,S,Third,,Southampton,True
passenger493,0,1,49.5042,C,First,,Cherbourg,True
passenger79,1,3,12.475,S,Third,,Southampton,True
passenger660,1,1,133.65,S,First,,Southampton,False
passenger559,1,3,17.4,S,Third,,Southampton,False
passenger800,0,2,13.0,S,Second,,Southampton,True
passenger638,0,3,39.6875,S,Third,,Southampton,False
passenger688,0,3,7.7958,S,Third,,Southampton,True
passenger263,0,1,0.0,S,First,B,Southampton,True
passenger590,0,3,7.125,S,Third,,Southampton,True
passenger556,1,1,39.6,C,First,A,Cherbourg,False
passenger355,0,3,9.5,S,Third,,Southampton,True
passenger749,0,3,7.75,Q,Third,,Queenstown,True
passenger261,1,3,31.3875,S,Third,,Southampton,False
passenger723,0,2,13.0,S,Second,,Southampton,True
passenger272,1,2,19.5,S,Second,,Southampton,False
passenger398,0,2,10.5,S,Second,,Southampton,True
passenger291,1,1,91.0792,C,First,B,Cherbourg,False
passenger317,0,2,14.0,S,Second,,Southampton,True
passenger97,1,1,63.3583,C,First,D,Cherbourg,False
passenger369,1,1,69.3,C,First,B,Cherbourg,True
passenger587,1,1,79.2,C,First,B,Cherbourg,False
passenger643,1,3,56.4958,S,Third,,Southampton,True
passenger885,0,3,29.125,Q,Third,,Queenstown,False
