passengerID,survived,pclass,fare,embarked,class,deck,embark_town,alone
passenger0,0,3,7.25,S,Third,,Southampton,False
passenger1,1,1,71.2833,C,First,C,Cherbourg,False
passenger2,1,3,7.925,S,Third,,Southampton,True
passenger3,1,1,53.1,S,First,C,Southampton,False
passenger4,0,3,8.05,S,Third,,Southampton,True
passenger5,0,3,8.4583,Q,Third,,Queenstown,True
passenger6,0,1,51.8625,S,First,E,Southampton,True
passenger7,0,3,21.075,S,Third,,Southampton,False
passenger8,1,3,11.1333,S,Third,,Southampton,False
passenger9,1,2,30.0708,C,Second,,Cherbourg,False
passenger10,1,3,16.7,S,Third,G,Southampton,False
passenger11,1,1,26.55,S,First,C,Southampton,True
passenger12,0,3,8.05,S,Third,,Southampton,True
passenger13,0,3,31.275,S,Third,,Southampton,False
passenger14,0,3,7.8542,S,Third,,Southampton,True
passenger15,1,2,16.0,S,Second,,Southampton,True
passenger16,0,3,29.125,Q,Third,,Queenstown,False
passenger17,1,2,13.0,S,Second,,Southampton,True
passenger18,0,3,18.0,S,Third,,Southampton,False
passenger19,1,3,7.225,C,Third,,Cherbourg,True
passenger20,0,2,26.0,S,Second,,Southampton,True
passenger21,1,2,13.0,S,Second,D,Southampton,True
passenger22,1,3,8.0292,Q,Third,,Queenstown,True
passenger23,1,1,35.5,S,First,A,Southampton,True
passenger24,0,3,21.075,S,Third,,Southampton,False
passenger25,1,3,31.3875,S,Third,,Southampton,False
passenger26,0,3,7.225,C,Third,,Cherbourg,True
passenger27,0,1,263.0,S,First,C,Southampton,False
passenger28,1,3,7.8792,Q,Third,,Queenstown,True
passenger29,0,3,7.8958,S,Third,,Southampton,True
passenger30,0,1,27.7208,C,First,,Cherbourg,True
passenger31,1,1,146.5208,C,First,B,Cherbourg,False
passenger32,1,3,7.75,Q,Third,,Queenstown,True
passenger33,0,2,10.5,S,Second,,Southampton,True
passenger34,0,1,82.1708,C,First,,Cherbourg,False
passenger35,0,1,52.0,S,First,,Southampton,False
passenger36,1,3,7.2292,C,Third,,Cherbourg,True
passenger37,0,3,8.05,S,Third,,Southampton,True
passenger38,0,3,18.0,S,Third,,Southampton,False
passenger39,1,3,11.2417,C,Third,,Cherbourg,False
passenger40,0,3,9.475,S,Third,,Southampton,False
passenger41,0,2,21.0,S,Second,,Southampton,False
passenger42,0,3,7.8958,C,Third,,Cherbourg,True
passenger43,1,2,41.5792,C,Second,,Cherbourg,False
passenger44,1,3,7.8792,Q,Third,,Queenstown,True
passenger45,0,3,8.05,S,Third,,Southampton,True
passenger46,0,3,15.5,Q,Third,,Queenstown,False
passenger47,1,3,7.75,Q,Third,,Queenstown,True
passenger48,0,3,21.6792,C,Third,,Cherbourg,False
passenger49,0,3,17.8,S,Third,,Southampton,False
passenger50,0,3,39.6875,S,Third,,Southampton,False
passenger51,0,3,7.8,S,Third,,Southampton,True
passenger52,1,1,76.7292,C,First,D,Cherbourg,False
passenger53,1,2,26.0,S,Second,,Southampton,False
passenger54,0,1,61.9792,C,First,B,Cherbourg,False
passenger55,1,1,35.5,S,First,C,Southampton,True
passenger56,1,2,10.5,S,Second,,Southampton,True
passenger57,0,3,7.2292,C,Third,,Cherbourg,True
passenger58,1,2,27.75,S,Second,,Southampton,False
passenger59,0,3,46.9,S,Third,,Southampton,False
passenger60,0,3,7.2292,C,Third,,Cherbourg,True
passenger61,1,1,80.0,,First,B,,True
passenger62,0,1,83.475,S,First,C,Southampton,False
passenger63,0,3,27.9,S,Third,,Southampton,False
