passengerID	sex	age	alive
passenger125	male	12.0	yes
passenger31	female		yes
passenger247	female	24.0	yes
passenger102	male	21.0	no
passenger502	female		no
passenger526	female	50.0	yes
passenger11	female	58.0	yes
passenger588	male	22.0	no
passenger242	male	29.0	no
passenger841	male	16.0	no
passenger741	male	36.0	no
passenger718	male		no
passenger228	male	18.0	no
passenger18	female	31.0	no
passenger389	female	17.0	yes
passenger690	male	31.0	yes
passenger658	male	23.0	no
passenger611	male		no
passenger767	female	30.5	no
passenger388	male		no
passenger417	female	18.0	yes
passenger428	male		no
passenger646	male	19.0	no
passenger595	male	36.0	no
passenger394	female	24.0	yes
passenger97	male	23.0	yes
passenger501	female	21.0	no
passenger197	male	42.0	no
passenger445	male	4.0	yes
passenger523	female	44.0	yes
passenger885	female	39.0	no
passenger214	male		no
passenger343	male	25.0	no
passenger617	female	26.0	no
passenger535	female	7.0	yes
passenger138	male	16.0	no
passenger777	female	5.0	yes
passenger823	female	27.0	yes
passenger808	male	39.0	no
passenger887	female	19.0	yes
passenger101	male		no
passenger340	male	2.0	yes
passenger506	female	33.0	yes
passenger435	female	14.0	yes
passenger663	male	36.0	no
passenger288	male	42.0	yes
passenger602	male		no
passenger888	female		no
passenger699	male	42.0	no
passenger730	female	29.0	yes
passenger746	male	16.0	no
passenger856	female	45.0	yes
passenger536	male	45.0	no
passenger745	male	70.0	no
passenger750	female	4.0	yes
passenger821	male	27.0	yes
passenger237	female	8.0	yes
passenger386	male	1.0	no
passenger362	female	45.0	no
passenger267	male	25.0	yes
passenger360	male	40.0	no
passenger426	female	28.0	yes
passenger167	female	45.0	no
passenger147	female	9.0	no
passenger410	male		no
passenger90	male	29.0	no
passenger878	male		no
passenger69	male	26.0	no
passenger497	male		no
passenger640	male	20.0	no
passenger393	female	23.0	yes
passenger726	female	30.0	yes
passenger666	male	25.0	no
passenger527	male		no
passenger520	female	30.0	yes
passenger788	male	1.0	yes
passenger517	male		no
passenger236	male	44.0	no
passenger486	female	35.0	yes
passenger117	male	29.0	no
passenger512	male	36.0	yes
passenger599	male	49.0	yes
passenger271	male	25.0	yes
passenger358	female		yes
passenger748	male	19.0	no
passenger234	male	24.0	no
passenger238	male	19.0	no
passenger26	male		no
passenger175	male	18.0	no
passenger313	male	28.0	no
passenger61	female	38.0	yes
passenger575	male	19.0	no
passenger786	female	18.0	yes
passenger408	male	21.0	no
passenger872	male	33.0	no
passenger52	female	49.0	yes
passenger622	male	20.0	yes
passenger150	male	51.0	no
passenger196	male		no
passenger840	male	20.0	no
passenger416	female	34.0	yes
passenger886	male	27.0	no
passenger579	male	32.0	yes
passenger649	female	23.0	yes
passenger398	male	23.0	no
passenger292	male	36.0	no
passenger772	female	57.0	no
passenger570	male	62.0	yes
passenger123	female	32.5	yes
passenger299	female	50.0	yes
passenger879	female	56.0	yes
passenger111	female	14.5	no
passenger471	male	38.0	no
passenger555	male	62.0	no
passenger860	male	41.0	no
passenger407	male	3.0	yes
passenger607	male	27.0	yes
passenger800	male	34.0	no
passenger525	male	40.5	no
passenger200	male	28.0	no
passenger644	female	0.75	yes
passenger380	female	42.0	yes
passenger540	female	36.0	yes
passenger116	male	70.5	no
passenger427	female	19.0	yes
passenger195	female	58.0	yes
passenger95	male		no
passenger668	male	43.0	no
passenger729	female	25.0	no
passenger608	female	22.0	yes
passenger569	male	32.0	yes
passenger54	male	65.0	no
passenger29	male		no
passenger319	female	40.0	yes
passenger601	male		no
passenger590	male	35.0	no
passenger131	male	20.0	no
passenger184	female	4.0	yes
passenger323	female	22.0	yes
passenger316	female	24.0	yes
passenger584	male		no
passenger790	male		no
passenger233	female	5.0	yes
passenger762	male	20.0	yes
passenger187	male	45.0	yes
passenger574	male	16.0	no
passenger328	female	31.0	yes
passenger515	male	47.0	no
passenger293	female	24.0	no
passenger379	male	19.0	no
passenger554	female	22.0	yes
passenger714	male	52.0	no
passenger657	female	32.0	no
passenger21	male	34.0	yes
passenger623	male	21.0	no
passenger725	male	20.0	no
passenger656	male		no
passenger256	female		yes
passenger229	female		no
passenger616	male	34.0	no
passenger544	male	50.0	no
passenger881	male	33.0	no
passenger870	male	26.0	no
passenger542	female	11.0	no
passenger93	male	26.0	no
passenger320	male	22.0	no
passenger548	male	33.0	no
passenger474	female	22.0	no
passenger158	male		no
passenger614	male	35.0	no
passenger475	male		no
passenger359	female		yes
passenger300	female		yes
passenger642	female	2.0	no
passenger344	male	36.0	no
passenger597	male	49.0	no
passenger296	male	23.5	no
passenger377	male	27.0	no
passenger442	male	25.0	no
passenger403	male	28.0	no
passenger867	male	31.0	no
passenger24	female	8.0	no
passenger303	female		yes
passenger133	female	29.0	yes
passenger280	male	65.0	no
passenger472	female	33.0	yes
passenger219	male	30.0	no
passenger304	male		no
passenger572	male	36.0	yes
passenger503	female	37.0	no
passenger301	male		yes
passenger246	female	25.0	no
passenger44	female	19.0	yes
passenger15	female	55.0	yes
passenger354	male		no
passenger154	male		no
passenger638	female	41.0	no
passenger321	male	27.0	no
passenger817	male	31.0	no
passenger342	male	28.0	no
passenger224	male	38.0	yes
passenger227	male	20.5	no
passenger707	male	42.0	yes
passenger334	female		yes
passenger423	female	28.0	no
passenger412	female	33.0	yes
passenger877	male	19.0	no
passenger257	female	30.0	yes
passenger180	female		no
passenger55	male		yes
passenger667	male		no
passenger309	female	30.0	yes
passenger215	female	31.0	yes
passenger826	male		no
passenger205	female	2.0	no
passenger152	male	55.5	no
passenger539	female	22.0	yes
passenger361	male	29.0	no
passenger625	male	61.0	no
passenger112	male	22.0	no
passenger56	female	21.0	yes
passenger621	male	42.0	yes
passenger509	male	26.0	yes
passenger49	female	18.0	no
passenger830	female	15.0	yes
passenger46	male		no
passenger716	female	38.0	yes
passenger20	male	35.0	no
passenger545	male	64.0	no
passenger626	male	57.0	no
passenger83	male	28.0	no
passenger451	male		no
passenger516	female	34.0	yes
passenger381	female	1.0	yes
passenger153	male	40.5	no
passenger341	female	24.0	yes
passenger687	male	19.0	no
passenger2	female	26.0	yes
passenger473	female	23.0	yes
passenger675	male	18.0	no
passenger637	male	31.0	no
passenger766	male		no
passenger610	female	39.0	no
passenger401	male	26.0	no
passenger178	male	30.0	no
passenger693	male	25.0	no
passenger634	female	9.0	no
passenger859	male		no
passenger430	male	28.0	yes
passenger556	female	48.0	yes
passenger204	male	18.0	yes
passenger558	female	39.0	yes
passenger564	female		no
passenger225	male	22.0	no
passenger538	male		no
passenger13	male	39.0	no
passenger440	female	45.0	yes
passenger758	male	34.0	no
passenger775	male	18.0	no
passenger365	male	30.0	no
passenger166	female		yes
passenger58	female	5.0	yes
passenger837	male		no
passenger585	female	18.0	yes
passenger483	female	63.0	yes
passenger650	male		no
passenger507	male		yes
passenger210	male	24.0	no
passenger645	male	48.0	yes
